labels,pattern,nhdegree,hdegree
a_20: A | a_30: A ,A->A,0.5029585798816568,0.3911671924290221
a_20: B | a_30: A ,A->B,0.4970414201183432,0.6088328075709779
a_20: A | a_30: B ,B->A,0.07063197026022305,0.08722741433021806
a_20: B | a_30: B ,B->B,0.929368029739777,0.9127725856697819
a_10: A | a_30: A ,A->A,0.1893491124260355,0.1892744479495268
a_10: B | a_30: A ,A->B,0.8106508875739645,0.8107255520504731
a_10: A | a_30: B ,B->A,0.18587360594795538,0.2398753894080997
a_10: B | a_30: B ,B->B,0.8141263940520446,0.7601246105919003
a_10: A | a_20: A ,A->A,0.3942307692307692,0.34210526315789475
a_10: B | a_20: A ,A->B,0.6057692307692307,0.6578947368421053
a_10: A | a_20: B ,B->A,0.12275449101796407,0.1748971193415638
a_10: B | a_20: B ,B->B,0.8772455089820359,0.8251028806584362
a_5: A | a_30: A ,A->A,0.24260355029585798,0.38801261829652994
a_5: B | a_30: A ,A->B,0.757396449704142,0.61198738170347
a_5: A | a_30: B ,B->A,0.26765799256505574,0.40498442367601245
a_5: B | a_30: B ,B->B,0.7323420074349443,0.5950155763239875
a_5: A | a_20: A ,A->A,0.4230769230769231,0.46710526315789475
a_5: B | a_20: A ,A->B,0.5769230769230769,0.5328947368421053
a_5: A | a_20: B ,B->A,0.20658682634730538,0.37448559670781895
a_5: B | a_20: B ,B->B,0.7934131736526946,0.6255144032921811
a_5: A | a_10: A ,A->A,0.7073170731707317,0.7445255474452555
a_5: B | a_10: A ,A->B,0.2926829268292683,0.25547445255474455
a_5: A | a_10: B ,B->A,0.1544943820224719,0.3013972055888224
a_5: B | a_10: B ,B->B,0.8455056179775281,0.6986027944111777
a_1: A | a_30: A ,A->A,0.41420118343195267,0.6277602523659306
a_1: B | a_30: A ,A->B,0.5857988165680473,0.3722397476340694
a_1: A | a_30: B ,B->A,0.40892193308550184,0.5482866043613707
a_1: B | a_30: B ,B->B,0.5910780669144982,0.4517133956386293
a_1: A | a_20: A ,A->A,0.4423076923076923,0.6381578947368421
a_1: B | a_20: A ,A->B,0.5576923076923077,0.3618421052631579
a_1: A | a_20: B ,B->A,0.40119760479041916,0.5720164609053497
a_1: B | a_20: B ,B->B,0.5988023952095808,0.4279835390946502
a_1: A | a_10: A ,A->A,0.5365853658536586,0.7153284671532847
a_1: B | a_10: A ,A->B,0.4634146341463415,0.2846715328467153
a_1: A | a_10: B ,B->A,0.38202247191011235,0.5528942115768463
a_1: B | a_10: B ,B->B,0.6179775280898876,0.4471057884231537
a_1: A | a_5: A ,A->A,0.7079646017699115,0.7905138339920948
a_1: B | a_5: A ,A->B,0.2920353982300885,0.20948616600790515
a_1: A | a_5: B ,B->A,0.3076923076923077,0.45454545454545453
a_1: B | a_5: B ,B->B,0.6923076923076923,0.5454545454545454
a_0: A | a_30: A ,A->A,0.4378698224852071,0.5709779179810726
a_0: B | a_30: A ,A->B,0.5621301775147929,0.42902208201892744
a_0: A | a_30: B ,B->A,0.3828996282527881,0.4735202492211838
a_0: B | a_30: B ,B->B,0.6171003717472119,0.5264797507788161
a_0: A | a_20: A ,A->A,0.4807692307692308,0.5526315789473685
a_0: B | a_20: A ,A->B,0.5192307692307693,0.4473684210526316
a_0: A | a_20: B ,B->A,0.38023952095808383,0.5123456790123457
a_0: B | a_20: B ,B->B,0.6197604790419161,0.4876543209876543
a_0: A | a_10: A ,A->A,0.5365853658536586,0.5912408759124088
a_0: B | a_10: A ,A->B,0.4634146341463415,0.40875912408759124
a_0: A | a_10: B ,B->A,0.37359550561797755,0.5029940119760479
a_0: B | a_10: B ,B->B,0.6264044943820225,0.49700598802395207
a_0: A | a_5: A ,A->A,0.6194690265486725,0.6798418972332015
a_0: B | a_5: A ,A->B,0.3805309734513274,0.3201581027667984
a_0: A | a_5: B ,B->A,0.3292307692307692,0.41818181818181815
a_0: B | a_5: B ,B->B,0.6707692307692308,0.5818181818181818
a_0: A | a_1: A ,A->A,0.7166666666666667,0.768
a_0: B | a_1: A ,A->B,0.2833333333333333,0.232
a_0: A | a_1: B ,B->A,0.18604651162790697,0.17110266159695817
a_0: B | a_1: B ,B->B,0.813953488372093,0.8288973384030418
