labels,pattern,probs
a_20: A | a_30: A ,A->A,0.4429530201342282
a_20: B | a_30: A ,A->B,0.5570469798657718
a_20: A | a_30: B ,B->A,0.07472178060413355
a_20: B | a_30: B ,B->B,0.9252782193958664
a_10: A | a_30: A ,A->A,0.2214765100671141
a_10: B | a_30: A ,A->B,0.7785234899328859
a_10: A | a_30: B ,B->A,0.21939586645468998
a_10: B | a_30: B ,B->B,0.78060413354531
a_10: A | a_20: A ,A->A,0.44081632653061226
a_10: B | a_20: A ,A->B,0.5591836734693878
a_10: A | a_20: B ,B->A,0.1552346570397112
a_10: B | a_20: B ,B->B,0.8447653429602888
a_5: A | a_30: A ,A->A,0.3131991051454139
a_5: B | a_30: A ,A->B,0.6868008948545862
a_5: A | a_30: B ,B->A,0.3958664546899841
a_5: B | a_30: B ,B->B,0.604133545310016
a_5: A | a_20: A ,A->A,0.43673469387755104
a_5: B | a_20: A ,A->B,0.563265306122449
a_5: A | a_20: B ,B->A,0.33935018050541516
a_5: B | a_20: B ,B->B,0.6606498194945848
a_5: A | a_10: A ,A->A,0.8016877637130801
a_5: B | a_10: A ,A->B,0.19831223628691982
a_5: A | a_10: B ,B->A,0.23718712753277713
a_5: B | a_10: B ,B->B,0.7628128724672228
a_1: A | a_30: A ,A->A,0.44742729306487694
a_1: B | a_30: A ,A->B,0.5525727069351231
a_1: A | a_30: B ,B->A,0.5389507154213037
a_1: B | a_30: B ,B->B,0.4610492845786963
a_1: A | a_20: A ,A->A,0.49387755102040815
a_1: B | a_20: A ,A->B,0.5061224489795918
a_1: A | a_20: B ,B->A,0.5030084235860409
a_1: B | a_20: B ,B->B,0.4969915764139591
a_1: A | a_10: A ,A->A,0.7341772151898734
a_1: B | a_10: A ,A->B,0.26582278481012656
a_1: A | a_10: B ,B->A,0.43504171632896305
a_1: B | a_10: B ,B->B,0.564958283671037
a_1: A | a_5: A ,A->A,0.8174807197943444
a_1: B | a_5: A ,A->B,0.18251928020565553
a_1: A | a_5: B ,B->A,0.32168850072780203
a_1: B | a_5: B ,B->B,0.6783114992721979
a_0: A | a_30: A ,A->A,0.5033557046979866
a_0: B | a_30: A ,A->B,0.4966442953020134
a_0: A | a_30: B ,B->A,0.5930047694753577
a_0: B | a_30: B ,B->B,0.4069952305246423
a_0: A | a_20: A ,A->A,0.5387755102040817
a_0: B | a_20: A ,A->B,0.46122448979591835
a_0: A | a_20: B ,B->A,0.5607701564380265
a_0: B | a_20: B ,B->B,0.43922984356197353
a_0: A | a_10: A ,A->A,0.729957805907173
a_0: B | a_10: A ,A->B,0.270042194092827
a_0: A | a_10: B ,B->A,0.5065554231227652
a_0: B | a_10: B ,B->B,0.4934445768772348
a_0: A | a_5: A ,A->A,0.7969151670951157
a_0: B | a_5: A ,A->B,0.20308483290488433
a_0: A | a_5: B ,B->A,0.4192139737991266
a_0: B | a_5: B ,B->B,0.5807860262008734
a_0: A | a_1: A ,A->A,0.9016697588126159
a_0: B | a_1: A ,A->B,0.09833024118738404
a_0: A | a_1: B ,B->A,0.2085661080074488
a_0: B | a_1: B ,B->B,0.7914338919925512
