labels,probs,pattern
a_20: A | a_30: A ,0.9449081803005008,A->A
a_20: B | a_30: A ,0.05509181969949917,A->B
a_20: A | a_30: B ,0.08955223880597014,B->A
a_20: B | a_30: B ,0.9104477611940298,B->B
a_10: A | a_30: A ,0.8163606010016694,A->A
a_10: B | a_30: A ,0.18363939899833054,A->B
a_10: A | a_30: B ,0.22388059701492538,B->A
a_10: B | a_30: B ,0.7761194029850746,B->B
a_10: A | a_20: A ,0.8573216520650814,A->A
a_10: B | a_20: A ,0.14267834793491865,A->B
a_10: A | a_20: B ,0.21014492753623187,B->A
a_10: B | a_20: B ,0.782608695652174,B->B
a_5: A | a_30: A ,0.6427378964941569,A->A
a_5: B | a_30: A ,0.3572621035058431,A->B
a_5: A | a_30: B ,0.2835820895522388,B->A
a_5: B | a_30: B ,0.7164179104477612,B->B
a_5: A | a_20: A ,0.6733416770963705,A->A
a_5: B | a_20: A ,0.32665832290362956,A->B
a_5: A | a_20: B ,0.21014492753623187,B->A
a_5: B | a_20: B ,0.7898550724637681,B->B
a_5: A | a_10: A ,0.7637028014616322,A->A
a_5: B | a_10: A ,0.23629719853836784,A->B
a_5: A | a_10: B ,0.13765182186234817,B->A
a_5: B | a_10: B ,0.8623481781376519,B->B
a_1: A | a_30: A ,0.4507512520868113,A->A
a_1: B | a_30: A ,0.5492487479131887,A->B
a_1: A | a_30: B ,0.26865671641791045,B->A
a_1: B | a_30: B ,0.7313432835820896,B->B
a_1: A | a_20: A ,0.4405506883604506,A->A
a_1: B | a_20: A ,0.5594493116395495,A->B
a_1: A | a_20: B ,0.2898550724637681,B->A
a_1: B | a_20: B ,0.7101449275362319,B->B
a_1: A | a_10: A ,0.47990255785627284,A->A
a_1: B | a_10: A ,0.5200974421437271,A->B
a_1: A | a_10: B ,0.2388663967611336,B->A
a_1: B | a_10: B ,0.7611336032388664,B->B
a_1: A | a_5: A ,0.5909774436090226,A->A
a_1: B | a_5: A ,0.40902255639097745,A->B
a_1: A | a_5: B ,0.15647921760391198,B->A
a_1: B | a_5: B ,0.843520782396088,B->B
a_0: A | a_30: A ,0.38898163606010017,A->A
a_0: B | a_30: A ,0.6110183639398998,A->B
a_0: A | a_30: B ,0.34328358208955223,B->A
a_0: B | a_30: B ,0.6567164179104478,B->B
a_0: A | a_20: A ,0.3867334167709637,A->A
a_0: B | a_20: A ,0.6132665832290363,A->B
a_0: A | a_20: B ,0.2971014492753623,B->A
a_0: B | a_20: B ,0.7028985507246377,B->B
a_0: A | a_10: A ,0.4190012180267966,A->A
a_0: B | a_10: A ,0.5809987819732034,A->B
a_0: A | a_10: B ,0.2591093117408907,B->A
a_0: B | a_10: B ,0.7408906882591093,B->B
a_0: A | a_5: A ,0.5067669172932331,A->A
a_0: B | a_5: A ,0.4932330827067669,A->B
a_0: A | a_5: B ,0.18337408312958436,B->A
a_0: B | a_5: B ,0.8166259168704156,B->B
a_0: A | a_1: A ,0.7833698030634574,A->A
a_0: B | a_1: A ,0.21663019693654267,A->B
a_0: A | a_1: B ,0.08752025931928688,B->A
a_0: B | a_1: B ,0.9124797406807131,B->B
