labels,M,pattern,F
a_20: A | a_30: A ,0.9655172413793104,A->A,0.9343434343434344
a_20: B | a_30: A ,0.034482758620689655,A->B,0.06565656565656566
a_20: A | a_30: B ,0.05263157894736842,B->A,0.10416666666666667
a_20: B | a_30: B ,0.9473684210526315,B->B,0.8958333333333334
a_10: A | a_30: A ,0.8325123152709359,A->A,0.8080808080808081
a_10: B | a_30: A ,0.16748768472906403,A->B,0.1919191919191919
a_10: A | a_30: B ,0.3684210526315789,B->A,0.16666666666666666
a_10: B | a_30: B ,0.631578947368421,B->B,0.8333333333333334
a_10: A | a_20: A ,0.8607142857142858,A->A,0.8554913294797688
a_10: B | a_20: A ,0.1392857142857143,A->B,0.14450867052023122
a_10: A | a_20: B ,0.3409090909090909,B->A,0.14893617021276595
a_10: B | a_20: B ,0.6590909090909091,B->B,0.8404255319148937
a_5: A | a_30: A ,0.7142857142857143,A->A,0.6060606060606061
a_5: B | a_30: A ,0.2857142857142857,A->B,0.3939393939393939
a_5: A | a_30: B ,0.47368421052631576,B->A,0.20833333333333334
a_5: B | a_30: B ,0.5263157894736842,B->B,0.7916666666666666
a_5: A | a_20: A ,0.7071428571428572,A->A,0.6551059730250481
a_5: B | a_20: A ,0.29285714285714287,A->B,0.3448940269749518
a_5: A | a_20: B ,0.3409090909090909,B->A,0.14893617021276595
a_5: B | a_20: B ,0.6590909090909091,B->B,0.851063829787234
a_5: A | a_10: A ,0.8026315789473685,A->A,0.7408123791102514
a_5: B | a_10: A ,0.19736842105263158,A->B,0.25918762088974856
a_5: A | a_10: B ,0.1625,B->A,0.12574850299401197
a_5: B | a_10: B ,0.8375,B->B,0.874251497005988
a_1: A | a_30: A ,0.5566502463054187,A->A,0.39646464646464646
a_1: B | a_30: A ,0.4433497536945813,A->B,0.6035353535353535
a_1: A | a_30: B ,0.42105263157894735,B->A,0.20833333333333334
a_1: B | a_30: B ,0.5789473684210527,B->B,0.7916666666666666
a_1: A | a_20: A ,0.5142857142857142,A->A,0.4007707129094412
a_1: B | a_20: A ,0.4857142857142857,A->B,0.5992292870905588
a_1: A | a_20: B ,0.45454545454545453,B->A,0.2127659574468085
a_1: B | a_20: B ,0.5454545454545454,B->B,0.7872340425531915
a_1: A | a_10: A ,0.5493421052631579,A->A,0.43907156673114117
a_1: B | a_10: A ,0.4506578947368421,A->B,0.5609284332688588
a_1: A | a_10: B ,0.3375,B->A,0.19161676646706588
a_1: B | a_10: B ,0.6625,B->B,0.8083832335329342
a_1: A | a_5: A ,0.6434108527131783,A->A,0.5577395577395577
a_1: B | a_5: A ,0.35658914728682173,A->B,0.44226044226044225
a_1: A | a_5: B ,0.2283464566929134,B->A,0.12411347517730496
a_1: B | a_5: B ,0.7716535433070866,B->B,0.875886524822695
a_0: A | a_30: A ,0.4975369458128079,A->A,0.3333333333333333
a_0: B | a_30: A ,0.5024630541871922,A->B,0.6666666666666666
a_0: A | a_30: B ,0.42105263157894735,B->A,0.3125
a_0: B | a_30: B ,0.5789473684210527,B->B,0.6875
a_0: A | a_20: A ,0.4607142857142857,A->A,0.3468208092485549
a_0: B | a_20: A ,0.5392857142857143,A->B,0.653179190751445
a_0: A | a_20: B ,0.5,B->A,0.20212765957446807
a_0: B | a_20: B ,0.5,B->B,0.7978723404255319
a_0: A | a_10: A ,0.5,A->A,0.3713733075435203
a_0: B | a_10: A ,0.5,A->B,0.6286266924564797
a_0: A | a_10: B ,0.3625,B->A,0.20958083832335328
a_0: B | a_10: B ,0.6375,B->B,0.7904191616766467
a_0: A | a_5: A ,0.5813953488372093,A->A,0.4594594594594595
a_0: B | a_5: A ,0.4186046511627907,A->B,0.5405405405405406
a_0: A | a_5: B ,0.25196850393700787,B->A,0.1524822695035461
a_0: B | a_5: B ,0.7480314960629921,B->B,0.8475177304964538
a_0: A | a_1: A ,0.8307692307692308,A->A,0.7480916030534351
a_0: B | a_1: A ,0.16923076923076924,A->B,0.25190839694656486
a_0: A | a_1: B ,0.10526315789473684,B->A,0.07962529274004684
a_0: B | a_1: B ,0.8947368421052632,B->B,0.9203747072599532
