labels,nhdegree,pattern,hdegree
a_20: A | a_30: A ,0.9592592592592593,A->A,0.9331306990881459
a_20: B | a_30: A ,0.040740740740740744,A->B,0.0668693009118541
a_20: A | a_30: B ,0.0625,B->A,0.11428571428571428
a_20: B | a_30: B ,0.9375,B->B,0.8857142857142857
a_10: A | a_30: A ,0.837037037037037,A->A,0.7993920972644377
a_10: B | a_30: A ,0.16296296296296298,A->B,0.2006079027355623
a_10: A | a_30: B ,0.09375,B->A,0.34285714285714286
a_10: B | a_30: B ,0.90625,B->B,0.6571428571428571
a_10: A | a_20: A ,0.858433734939759,A->A,0.8565310492505354
a_10: B | a_20: A ,0.14156626506024098,A->B,0.14346895074946467
a_10: A | a_20: B ,0.0851063829787234,B->A,0.27472527472527475
a_10: B | a_20: B ,0.9148936170212766,B->B,0.7142857142857143
a_5: A | a_30: A ,0.6370370370370371,A->A,0.6474164133738601
a_5: B | a_30: A ,0.362962962962963,A->B,0.3525835866261398
a_5: A | a_30: B ,0.15625,B->A,0.4
a_5: B | a_30: B ,0.84375,B->B,0.6
a_5: A | a_20: A ,0.6536144578313253,A->A,0.6873661670235546
a_5: B | a_20: A ,0.3463855421686747,A->B,0.31263383297644537
a_5: A | a_20: B ,0.1276595744680851,B->A,0.25274725274725274
a_5: B | a_20: B ,0.8723404255319149,B->B,0.7472527472527473
a_5: A | a_10: A ,0.7560975609756098,A->A,0.768762677484787
a_5: B | a_10: A ,0.24390243902439024,A->B,0.23123732251521298
a_5: A | a_10: B ,0.09523809523809523,B->A,0.16901408450704225
a_5: B | a_10: B ,0.9047619047619048,B->B,0.8309859154929577
a_1: A | a_30: A ,0.35555555555555557,A->A,0.5288753799392097
a_1: B | a_30: A ,0.6444444444444445,A->B,0.47112462006079026
a_1: A | a_30: B ,0.125,B->A,0.4
a_1: B | a_30: B ,0.875,B->B,0.6
a_1: A | a_20: A ,0.3463855421686747,A->A,0.5074946466809421
a_1: B | a_20: A ,0.6536144578313253,A->B,0.4925053533190578
a_1: A | a_20: B ,0.10638297872340426,B->A,0.38461538461538464
a_1: B | a_20: B ,0.8936170212765957,B->B,0.6153846153846154
a_1: A | a_10: A ,0.38109756097560976,A->A,0.5456389452332657
a_1: B | a_10: A ,0.6189024390243902,A->B,0.4543610547667343
a_1: A | a_10: B ,0.11428571428571428,B->A,0.33098591549295775
a_1: B | a_10: B ,0.8857142857142857,B->B,0.6690140845070423
a_1: A | a_5: A ,0.4846153846153846,A->A,0.6592592592592592
a_1: B | a_5: A ,0.5153846153846153,A->B,0.34074074074074073
a_1: A | a_5: B ,0.07386363636363637,B->A,0.21888412017167383
a_1: B | a_5: B ,0.9261363636363636,B->B,0.7811158798283262
a_0: A | a_30: A ,0.2962962962962963,A->A,0.46504559270516715
a_0: B | a_30: A ,0.7037037037037037,A->B,0.5349544072948328
a_0: A | a_30: B ,0.1875,B->A,0.4857142857142857
a_0: B | a_30: B ,0.8125,B->B,0.5142857142857142
a_0: A | a_20: A ,0.2921686746987952,A->A,0.4539614561027837
a_0: B | a_20: A ,0.7078313253012049,A->B,0.5460385438972163
a_0: A | a_20: B ,0.1276595744680851,B->A,0.38461538461538464
a_0: B | a_20: B ,0.8723404255319149,B->B,0.6153846153846154
a_0: A | a_10: A ,0.3018292682926829,A->A,0.4969574036511156
a_0: B | a_10: A ,0.698170731707317,A->B,0.5030425963488844
a_0: A | a_10: B ,0.17142857142857143,B->A,0.323943661971831
a_0: B | a_10: B ,0.8285714285714286,B->B,0.676056338028169
a_0: A | a_5: A ,0.38461538461538464,A->A,0.5851851851851851
a_0: B | a_5: A ,0.6153846153846154,A->B,0.4148148148148148
a_0: A | a_5: B ,0.10227272727272728,B->A,0.2446351931330472
a_0: B | a_5: B ,0.8977272727272727,B->B,0.7553648068669528
a_0: A | a_1: A ,0.7338129496402878,A->A,0.8050314465408805
a_0: B | a_1: A ,0.26618705035971224,A->B,0.1949685534591195
a_0: A | a_1: B ,0.05387205387205387,B->A,0.11875
a_0: B | a_1: B ,0.9461279461279462,B->B,0.88125
