labels,nobese,pattern,obese
a_20: A | a_30: A ,0.9472573839662447,A->A,0.9696969696969697
a_20: B | a_30: A ,0.052742616033755275,A->B,0.030303030303030304
a_20: A | a_30: B ,0.3870967741935484,B->A,0.4
a_20: B | a_30: B ,0.6129032258064516,B->B,0.6
a_10: A | a_30: A ,0.879746835443038,A->A,0.806060606060606
a_10: B | a_30: A ,0.12025316455696203,A->B,0.19393939393939394
a_10: A | a_30: B ,0.4838709677419355,B->A,0.2
a_10: B | a_30: B ,0.5161290322580645,B->B,0.8
a_10: A | a_20: A ,0.8860569715142429,A->A,0.8333333333333334
a_10: B | a_20: A ,0.11394302848575712,A->B,0.16666666666666666
a_10: A | a_20: B ,0.4393939393939394,B->A,0.36363636363636365
a_10: B | a_20: B ,0.5606060606060606,B->B,0.6363636363636364
a_5: A | a_30: A ,0.7827004219409283,A->A,0.6848484848484848
a_5: B | a_30: A ,0.21729957805907174,A->B,0.3151515151515151
a_5: A | a_30: B ,0.3870967741935484,B->A,0.2
a_5: B | a_30: B ,0.6129032258064516,B->B,0.8
a_5: A | a_20: A ,0.782608695652174,A->A,0.7254901960784313
a_5: B | a_20: A ,0.21739130434782608,A->B,0.27450980392156865
a_5: A | a_20: B ,0.5,B->A,0.36363636363636365
a_5: B | a_20: B ,0.5,B->B,0.6363636363636364
a_5: A | a_10: A ,0.8553546592489569,A->A,0.8369565217391305
a_5: B | a_10: A ,0.14464534075104313,A->B,0.16304347826086957
a_5: A | a_10: B ,0.27419354838709675,B->A,0.16279069767441862
a_5: B | a_10: B ,0.7258064516129032,B->B,0.8372093023255814
a_1: A | a_30: A ,0.6497890295358649,A->A,0.503030303030303
a_1: B | a_30: A ,0.350210970464135,A->B,0.49696969696969695
a_1: A | a_30: B ,0.4838709677419355,B->A,0.0
a_1: B | a_30: B ,0.5161290322580645,B->B,1.0
a_1: A | a_20: A ,0.6266866566716641,A->A,0.49019607843137253
a_1: B | a_20: A ,0.3733133433283358,A->B,0.5098039215686274
a_1: A | a_20: B ,0.6060606060606061,B->A,0.18181818181818182
a_1: B | a_20: B ,0.3939393939393939,B->B,0.8181818181818182
a_1: A | a_10: A ,0.674547983310153,A->A,0.5217391304347826
a_1: B | a_10: A ,0.325452016689847,A->B,0.4782608695652174
a_1: A | a_10: B ,0.4032258064516129,B->A,0.27906976744186046
a_1: B | a_10: B ,0.5967741935483871,B->B,0.7209302325581395
a_1: A | a_5: A ,0.7311827956989247,A->A,0.6049382716049383
a_1: B | a_5: A ,0.26881720430107525,A->B,0.3950617283950617
a_1: A | a_5: B ,0.31443298969072164,B->A,0.16666666666666666
a_1: B | a_5: B ,0.6855670103092784,B->B,0.8333333333333334
a_0: A | a_30: A ,0.6666666666666666,A->A,0.38181818181818183
a_0: B | a_30: A ,0.33122362869198313,A->B,0.6181818181818182
a_0: A | a_30: B ,0.45161290322580644,B->A,0.2
a_0: B | a_30: B ,0.5483870967741935,B->B,0.8
a_0: A | a_20: A ,0.6491754122938531,A->A,0.35294117647058826
a_0: B | a_20: A ,0.3493253373313343,A->B,0.6421568627450981
a_0: A | a_20: B ,0.5757575757575758,B->A,0.2727272727272727
a_0: B | a_20: B ,0.42424242424242425,B->B,0.7272727272727273
a_0: A | a_10: A ,0.6815020862308763,A->A,0.3804347826086957
a_0: B | a_10: A ,0.31710709318497915,A->B,0.6141304347826086
a_0: A | a_10: B ,0.4596774193548387,B->A,0.23255813953488372
a_0: B | a_10: B ,0.5403225806451613,B->B,0.7674418604651163
a_0: A | a_5: A ,0.7158218125960062,A->A,0.43209876543209874
a_0: B | a_5: A ,0.282642089093702,A->B,0.5617283950617284
a_0: A | a_5: B ,0.42783505154639173,B->A,0.16666666666666666
a_0: B | a_5: B ,0.5721649484536082,B->B,0.8333333333333334
a_0: A | a_1: A ,0.8698884758364313,A->A,0.6880733944954128
a_0: B | a_1: A ,0.12825278810408922,A->B,0.3119266055045872
a_0: A | a_1: B ,0.2662337662337662,B->A,0.05042016806722689
a_0: B | a_1: B ,0.7337662337662337,B->B,0.9411764705882353
